	Symbol	Company	Sector
195	FMC	FMC Corporation	Materials
201	FOX	Fox Corporation (Class B)	Communication Services
200	FOXA	Fox Corporation (Class A)	Communication Services
189	FRC	First Republic Bank	Financials
185	FRT	Federal Realty Investment Trust	Real Estate
432	FTI	TechnipFMC	Energy
197	FTNT	Fortinet	Information Technology
198	FTV	Fortive Corp	Industrials
207	GD	General Dynamics	Industrials
208	GE	General Electric	Industrials
212	GILD	Gilead Sciences	Health Care
209	GIS	General Mills	Consumer Staples
214	GL	Globe Life Inc.	Financials
124	GLW	Corning Inc.	Information Technology
210	GM	General Motors	Consumer Discretionary
24	GOOG	Alphabet Inc. (Class C)	Communication Services
23	GOOGL	Alphabet Inc. (Class A)	Communication Services
211	GPC	Genuine Parts	Consumer Discretionary
213	GPN	Global Payments Inc.	Information Technology
204	GPS	Gap Inc.	Consumer Discretionary
205	GRMN	Garmin Ltd.	Consumer Discretionary
215	GS	Goldman Sachs Group	Financials
216	GWW	Grainger (W.W.) Inc.	Industrials
218	HAL	Halliburton Co.	Energy
221	HAS	Hasbro Inc.	Consumer Discretionary
237	HBAN	Huntington Bancshares	Financials
219	HBI	Hanesbrands Inc	Consumer Discretionary
222	HCA	HCA Healthcare	Health Care
230	HD	Home Depot	Consumer Discretionary
225	HES	Hess Corporation	Energy
228	HFC	HollyFrontier Corp	Energy
220	HIG	Hartford Financial Svc.Gp.	Financials
238	HII	Huntington Ingalls Industries	Industrials
227	HLT	Hilton Worldwide Holdings Inc	Consumer Discretionary
229	HOLX	Hologic	Health Care
231	HON	Honeywell Int'l Inc.	Industrials
226	HPE	Hewlett Packard Enterprise	Information Technology
235	HPQ	HP Inc.	Information Technology
217	HRB	H&R Block	Consumer Discretionary
232	HRL	Hormel Foods Corp.	Consumer Staples
224	HSIC	Henry Schein	Health Care
233	HST	Host Hotels & Resorts	Real Estate
440	HSY	The Hershey Company	Consumer Staples
236	HUM	Humana Inc.	Health Care
234	HWM	Howmet Aerospace	Industrials
248	IBM	International Business Machines	Information Technology
247	ICE	Intercontinental Exchange	Financials
240	IDXX	IDEXX Laboratories	Health Care
239	IEX	IDEX Corporation	Industrials
251	IFF	Intl Flavors & Fragrances	Materials
243	ILMN	Illumina Inc	Health Care
244	INCY	Incyte	Health Care
241	INFO	IHS Markit Ltd.	Industrials
246	INTC	Intel Corp.	Information Technology
252	INTU	Intuit Inc.	Information Technology
249	IP	International Paper	Materials
250	IPG	Interpublic Group	Communication Services
255	IPGP	IPG Photonics Corp.	Information Technology
256	IQV	IQVIA Holdings Inc.	Health Care
245	IR	Ingersoll Rand	Industrials
257	IRM	Iron Mountain Incorporated	Real Estate
253	ISRG	Intuitive Surgical Inc.	Health Care
206	IT	Gartner Inc	Information Technology
242	ITW	Illinois Tool Works	Industrials
254	IVZ	Invesco Ltd.	Financials
260	J	Jacobs Engineering Group	Industrials
258	JBHT	J. B. Hunt Transport Services	Industrials
263	JCI	Johnson Controls International	Industrials
259	JKHY	Jack Henry & Associates	Information Technology
262	JNJ	Johnson & Johnson	Health Care
265	JNPR	Juniper Networks	Information Technology
264	JPM	JPMorgan Chase & Co.	Financials
267	K	Kellogg Co.	Consumer Staples
268	KEY	KeyCorp	Financials
269	KEYS	Keysight Technologies	Information Technology
275	KHC	Kraft Heinz Co	Consumer Staples
271	KIM	Kimco Realty	Real Estate
273	KLAC	KLA Corporation	Information Technology
270	KMB	Kimberly-Clark	Consumer Staples
272	KMI	Kinder Morgan	Energy
85	KMX	Carmax Inc	Consumer Discretionary
113	KO	Coca-Cola Company	Consumer Staples
276	KR	Kroger Co.	Consumer Staples
274	KSS	Kohl's Corp.	Consumer Discretionary
266	KSU	Kansas City Southern	Industrials
292	L	Loews Corp.	Financials
277	LB	L Brands Inc.	Consumer Discretionary
284	LDOS	Leidos Holdings	Information Technology
283	LEG	Leggett & Platt	Consumer Discretionary
285	LEN	Lennar Corp.	Consumer Discretionary
279	LH	Laboratory Corp. of America Holding	Health Care
278	LHX	L3Harris Technologies	Industrials
288	LIN	Linde plc	Materials
290	LKQ	LKQ Corporation	Consumer Discretionary
286	LLY	Lilly (Eli) & Co.	Health Care
291	LMT	Lockheed Martin Corp.	Industrials
287	LNC	Lincoln National	Financials
21	LNT	Alliant Energy Corp	Utilities
293	LOW	Lowe's Cos.	Consumer Discretionary
280	LRCX	Lam Research	Information Technology
416	LUV	Southwest Airlines	Industrials
282	LVS	Las Vegas Sands	Consumer Discretionary
281	LW	Lamb Weston Holdings Inc	Consumer Staples
294	LYB	LyondellBasell	Materials
289	LYV	Live Nation Entertainment	Communication Services
303	MA	Mastercard Inc.	Information Technology
316	MAA	Mid-America Apartments	Real Estate
299	MAR	Marriott Int'l.	Consumer Discretionary
302	MAS	Masco Corp.	Industrials
306	MCD	McDonald's Corp.	Consumer Discretionary
313	MCHP	Microchip Technology	Information Technology
307	MCK	McKesson Corp.	Health Care
321	MCO	Moody's Corp	Financials
319	MDLZ	Mondelez International	Consumer Staples
308	MDT	Medtronic plc	Health Care
310	MET	MetLife Inc.	Financials
312	MGM	MGM Resorts International	Consumer Discretionary
317	MHK	Mohawk Industries	Consumer Discretionary
305	MKC	McCormick & Co.	Consumer Staples
298	MKTX	MarketAxess	Financials
301	MLM	Martin Marietta Materials	Materials
300	MMC	Marsh & McLennan	Financials
0	MMM	3M Company	Industrials
320	MNST	Monster Beverage	Consumer Staples
25	MO	Altria Group Inc	Consumer Staples
441	MOS	The Mosaic Company	Materials
297	MPC	Marathon Petroleum	Energy
309	MRK	Merck & Co.	Health Care
296	MRO	Marathon Oil Corp.	Energy
322	MS	Morgan Stanley	Financials
324	MSCI	MSCI Inc	Financials
315	MSFT	Microsoft Corp.	Information Technology
323	MSI	Motorola Solutions Inc.	Information Technology
295	MTB	M&T Bank Corp.	Financials
311	MTD	Mettler Toledo	Health Care
314	MU	Micron Technology	Information Technology
304	MXIM	Maxim Integrated Products Inc	Information Technology
325	MYL	Mylan N.V.	Health Care
338	NBL	Noble Energy Inc	Energy
343	NCLH	Norwegian Cruise Line Holdings	Consumer Discretionary
326	NDAQ	Nasdaq Inc.	Financials
334	NEE	NextEra Energy	Utilities
331	NEM	Newmont Corporation	Materials
329	NFLX	Netflix Inc.	Communication Services
337	NI	NiSource Inc.	Utilities
336	NKE	Nike	Consumer Discretionary
342	NLOK	NortonLifeLock	Information Technology
335	NLSN	Nielsen Holdings	Industrials
341	NOC	Northrop Grumman	Industrials
327	NOV	National Oilwell Varco Inc.	Energy
409	NOW	ServiceNow	Information Technology
344	NRG	NRG Energy	Utilities
339	NSC	Norfolk Southern Corp.	Industrials
328	NTAP	NetApp	Information Technology
340	NTRS	Northern Trust Corp.	Financials
345	NUE	Nucor Corp.	Materials
346	NVDA	Nvidia Corporation	Information Technology
347	NVR	NVR Inc	Consumer Discretionary
330	NWL	Newell Brands	Consumer Discretionary
333	NWS	News Corp. Class B	Communication Services
332	NWSA	News Corp. Class A	Communication Services
390	O	Realty Income Corporation	Real Estate
350	ODFL	Old Dominion Freight Line	Industrials
352	OKE	ONEOK	Energy
351	OMC	Omnicom Group	Communication Services
353	ORCL	Oracle Corp.	Information Technology
348	ORLY	O'Reilly Automotive	Consumer Discretionary
354	OTIS	Otis Worldwide	Industrials
349	OXY	Occidental Petroleum	Energy
359	PAYC	Paycom	Information Technology
358	PAYX	Paychex Inc.	Information Technology
362	PBCT	People's United Financial	Financials
355	PCAR	PACCAR Inc.	Industrials
223	PEAK	Healthpeak Properties	Real Estate
379	PEG	Public Serv. Enterprise Inc.	Utilities
363	PEP	PepsiCo Inc.	Consumer Staples
366	PFE	Pfizer Inc.	Health Care
374	PFG	Principal Financial Group	Financials
375	PG	Procter & Gamble	Consumer Staples
376	PGR	Progressive Corp.	Financials
357	PH	Parker-Hannifin	Industrials
381	PHM	PulteGroup	Consumer Discretionary
356	PKG	Packaging Corporation of America	Materials
364	PKI	PerkinElmer	Health Care
377	PLD	Prologis	Real Estate
367	PM	Philip Morris International	Consumer Staples
371	PNC	PNC Financial Services	Financials
361	PNR	Pentair plc	Industrials
369	PNW	Pinnacle West Capital	Utilities
372	PPG	PPG Industries	Materials
373	PPL	PPL Corp.	Utilities
365	PRGO	Perrigo	Health Care
378	PRU	Prudential Financial	Financials
380	PSA	Public Storage	Real Estate
368	PSX	Phillips 66	Energy
382	PVH	PVH Corp.	Consumer Discretionary
385	PWR	Quanta Services Inc.	Industrials
370	PXD	Pioneer Natural Resources	Energy
360	PYPL	PayPal	Information Technology
384	QCOM	QUALCOMM Inc.	Information Technology
383	QRVO	Qorvo	Information Technology
401	RCL	Royal Caribbean Cruises Ltd	Consumer Discretionary
174	RE	Everest Re Group Ltd.	Financials
391	REG	Regency Centers Corporation	Real Estate
392	REGN	Regeneron Pharmaceuticals	Health Care
393	RF	Regions Financial Corp.	Financials
396	RHI	Robert Half International	Industrials
388	RJF	Raymond James Financial Inc.	Financials
387	RL	Ralph Lauren Corporation	Consumer Discretionary
395	RMD	ResMed	Health Care
397	ROK	Rockwell Automation Inc.	Industrials
398	ROL	Rollins Inc.	Industrials
399	ROP	Roper Technologies	Industrials
400	ROST	Ross Stores	Consumer Discretionary
394	RSG	Republic Services Inc	Industrials
389	RTX	Raytheon Technologies	Industrials
404	SBAC	SBA Communications	Real Estate
418	SBUX	Starbucks Corp.	Consumer Discretionary
98	SCHW	Charles Schwab Corporation	Financials
407	SEE	Sealed Air	Materials
410	SHW	Sherwin-Williams	Materials
422	SIVB	SVB Financial	Financials
261	SJM	JM Smucker	Consumer Staples
405	SLB	Schlumberger Ltd.	Energy
413	SLG	SL Green Realty	Real Estate
414	SNA	Snap-on	Industrials
424	SNPS	Synopsys Inc.	Information Technology
415	SO	Southern Company	Utilities
411	SPG	Simon Property Group Inc	Real Estate
402	SPGI	S&P Global Inc.	Financials
408	SRE	Sempra Energy	Utilities
420	STE	STERIS plc	Health Care
419	STT	State Street Corp.	Financials
406	STX	Seagate Technology	Information Technology
122	STZ	Constellation Brands	Consumer Staples
417	SWK	Stanley Black & Decker	Industrials
412	SWKS	Skyworks Solutions	Information Technology
423	SYF	Synchrony Financial	Financials
421	SYK	Stryker Corp.	Health Care
425	SYY	Sysco Corp.	Consumer Staples
53	T	AT&T Inc.	Communication Services
318	TAP	Molson Coors Brewing Company	Consumer Staples
449	TDG	TransDigm Group	Industrials
433	TDY	Teledyne Technologies	Industrials
431	TEL	TE Connectivity Ltd.	Information Technology
450	TFC	Truist Financial	Financials
434	TFX	Teleflex	Health Care
430	TGT	Target Corp.	Consumer Discretionary
445	TIF	Tiffany & Co.	Consumer Discretionary
446	TJX	TJX Companies Inc.	Consumer Discretionary
444	TMO	Thermo Fisher Scientific	Health Care
426	TMUS	T-Mobile US	Communication Services
429	TPR	Tapestry Inc.	Consumer Discretionary
427	TROW	T. Rowe Price Group	Financials
442	TRV	The Travelers Companies Inc.	Financials
447	TSCO	Tractor Supply Company	Consumer Discretionary
453	TSN	Tyson Foods	Consumer Staples
448	TT	Trane Technologies plc	Industrials
428	TTWO	Take-Two Interactive	Communication Services
451	TWTR	Twitter Inc.	Communication Services
435	TXN	Texas Instruments	Information Technology
436	TXT	Textron Inc.	Industrials
452	TYL	Tyler Technologies	Technology
458	UA	Under Armour (Class C)	Consumer Discretionary
457	UAA	Under Armour (Class A)	Consumer Discretionary
460	UAL	United Airlines Holdings	Industrials
455	UDR	UDR Inc.	Real Estate
464	UHS	Universal Health Services Inc.	Health Care
456	ULTA	Ulta Beauty	Consumer Discretionary
461	UNH	United Health Group Inc.	Health Care
465	UNM	Unum Group	Financials
459	UNP	Union Pacific Corp	Industrials
462	UPS	United Parcel Service	Industrials
463	URI	United Rentals Inc.	Industrials
454	USB	U.S. Bancorp	Financials
475	V	Visa Inc.	Information Technology
468	VAR	Varian Medical Systems	Health Care
466	VFC	V.F. Corp.	Consumer Discretionary
474	VIAC	ViacomCBS	Communication Services
467	VLO	Valero Energy	Energy
477	VMC	Vulcan Materials	Materials
476	VNO	Vornado Realty Trust	Real Estate
471	VRSK	Verisk Analytics	Industrials
470	VRSN	Verisign Inc.	Information Technology
473	VRTX	Vertex Pharmaceuticals Inc	Health Care
469	VTR	Ventas Inc	Real Estate
472	VZ	Verizon Communications	Communication Services
479	WAB	Wabtec Corporation	Industrials
483	WAT	Waters Corporation	Health Care
480	WBA	Walgreens Boots Alliance	Consumer Staples
488	WDC	Western Digital	Information Technology
484	WEC	WEC Energy Group	Utilities
486	WELL	Welltower Inc.	Real Estate
485	WFC	Wells Fargo	Financials
492	WHR	Whirlpool Corp.	Consumer Discretionary
494	WLTW	Willis Towers Watson	Financials
482	WM	Waste Management Inc.	Industrials
493	WMB	Williams Companies	Energy
481	WMT	Walmart	Consumer Staples
478	WRB	W. R. Berkley Corporation	Financials
490	WRK	WestRock	Materials
487	WST	West Pharmaceutical Services	Health Care
489	WU	Western Union Co	Information Technology
491	WY	Weyerhaeuser	Real Estate
495	WYNN	Wynn Resorts Ltd	Consumer Discretionary
496	XEL	Xcel Energy Inc	Utilities
498	XLNX	Xilinx	Information Technology
181	XOM	Exxon Mobil Corp.	Energy
138	XRAY	Dentsply Sirona	Health Care
497	XRX	Xerox	Information Technology
499	XYL	Xylem Inc.	Industrials
500	YUM	Yum! Brands Inc	Consumer Discretionary
502	ZBH	Zimmer Biomet Holdings	Health Care
501	ZBRA	Zebra Technologies	Information Technology
503	ZION	Zions Bancorp	Financials
504	ZTS	Zoetis	Health Care
